Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_95thPercentileLatency(us),UPDATE_99thPercentileLatency(us),UPDATE_Return=OK
1,16318,3064.100992768722,10,20,0.1225640397088722,0,0,0.0,10,20,0.1225640397088722,24897,282.9530063863116,52,47807,326,579,24897,1,1343.0,1343,1343,1343,1343,25103,347.0281241285902,78,5963,569,900,25103
2,16133,3139.237587553461,10,20,0.123969503501754075,0,0,0.0,10,20,0.123969503501754075,24951,278.368253968254,51,4959,462,802,24951,1,2425.0,2424,2424,2424,2424,25049,344.8833486363605,72,5819,582,900,25049
3,15932,3138.337936223861,10,19,0.11920529801324503,0,0,0.0,10,19,0.11920529801324503,24951,259.71147508967715,52,2091,438,683,24951,1,1663.0,1663,1663,1663,1663,25049,339.1929203539823,74,46579,581,793,25049
4,15144,3301.637612506861,10,19,0.1255335196461825,0,0,0.0,10,19,0.1255335196461825,25113,263.9361204013379,51,2431,477,709,25113,1,977.0,977,977,977,977,24887,333.688253968254,71,3911,488,776,24887
5,15235,3317.4097664543524,10,19,0.12471283444915892,0,0,0.0,10,19,0.12471283444915892,24857,255.4845315249291,51,2001,459,672,24857,1,1490.0,1490,1490,1490,1490,25196,338.1708609271523,71,3911,487,763,25196
6,15100,3311.2582781456954,10,18,0.11920529801324503,0,0,0.0,10,18,0.11920529801324503,25060,261.4603174603174,51,2153,437,667,25060,1,1041.0,1041,1041,1041,1041,24939,336.8702801120448,70,3911,487,793,24939
7,15928,3139.126067302863,10,18,0.11297136842105263,0,0,0.0,10,18,0.11297136842105263,24948,265.8102880658436,51,2491,477,709,24948,1,1977.0,1977,1977,1977,1977,25052,347.0283,70,46579,581,793,25052
8,15522,3221.237587553461,10,19,0.1225640397088722,0,0,0.0,10,19,0.1225640397088722,25161,275.2941176470588,52,2375,462,716,25161,1,1253.0,1253,1253,1253,1253,24839,343.688253968254,70,3911,487,776,24839
9,15133,3335.5570380253503,10,19,0.12722383445273074,0,0,0.0,10,19,0.12722383445273074,24804,247.81247508967715,52,20767,438,683,24804,1,1738.0,1738,1738,1738,1738,25196,338.1708609271523,70,3911,487,763,25196
10,15072,3337.4097664543524,10,19,0.12545946931308307,0,0,0.0,10,19,0.12545946931308307,24951,259.70046268356467,52,2095,459,672,24951,1,1799.0,1799,1799,1799,1799,25049,336.8702801120448,70,3911,487,793,25049
